datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2011010213,1,0,0,2,14.76,17.425,66,8.9981,11,64,75
2011010214,1,0,0,3,14.76,17.425,76,12.998,4,55,59
2011010215,1,0,0,3,13.94,16.665,81,11.0014,19,55,74
2011010216,1,0,0,3,13.94,16.665,71,11.0014,9,67,76
2011010217,1,0,0,1,13.94,16.665,57,12.998,7,58,65
2011010218,1,0,0,2,14.76,16.665,46,22.0028,10,43,53
2011010219,1,0,0,1,13.12,14.395,42,30.0026,1,29,30
2011010220,1,0,0,1,12.3,13.635,39,23.9994,5,17,22
2011010221,1,0,0,1,10.66,11.365,44,22.0028,11,20,31
2011010222,1,0,0,1,9.84,10.605,44,19.9995,0,9,9
2011010223,1,0,0,1,9.02,11.365,47,11.0014,0,8,8
2011010300,1,0,1,1,9.02,9.85,44,23.9994,0,5,5
2011010301,1,0,1,1,8.2,8.335,44,27.9993,0,2,2
2011010304,1,0,1,1,6.56,6.82,47,26.0027,0,1,1
2011010305,1,0,1,1,6.56,6.82,47,19.0012,0,3,3
2011010306,1,0,1,1,5.74,5.305,50,26.0027,0,30,30
2011010307,1,0,1,1,5.74,6.82,50,12.998,1,63,64
2011010308,1,0,1,1,5.74,6.06,50,19.0012,1,153,154
2011010309,1,0,1,1,6.56,6.82,43,26.0027,7,81,88
2011010310,1,0,1,1,7.38,8.335,43,16.9979,11,33,44
2011010311,1,0,1,1,8.2,9.09,40,22.0028,10,41,51
2011010312,1,0,1,1,9.02,10.605,35,19.9995,13,48,61
2011010313,1,0,1,1,9.84,10.605,35,19.0012,8,53,61
2011010314,1,0,1,1,10.66,12.12,30,19.0012,11,66,77
2011010315,1,0,1,1,10.66,12.12,30,16.9979,14,58,72
2011010316,1,0,1,1,10.66,12.12,30,16.9979,9,67,76
2011010317,1,0,1,1,9.84,11.365,30,15.0013,11,146,157
2011010318,1,0,1,1,9.84,12.88,32,7.0015,9,148,157
2011010319,1,0,1,1,8.2,12.88,47,0,8,102,110
2011010320,1,0,1,1,8.2,11.365,47,7.0015,3,49,52
2011010321,1,0,1,1,7.38,9.85,64,8.9981,3,49,52
2011010322,1,0,1,1,5.74,7.575,69,8.9981,0,20,20
2011010323,1,0,1,1,7.38,10.605,55,7.0015,1,11,12
2011010400,1,0,1,1,6.56,9.09,55,7.0015,0,5,5
2011010401,1,0,1,1,6.56,9.09,59,7.0015,0,2,2
2011010402,1,0,1,1,5.74,7.575,63,8.9981,0,1,1
2011010404,1,0,1,1,5.74,9.09,63,6.0032,0,2,2
2011010405,1,0,1,1,4.92,7.575,68,7.0015,0,4,4
2011010406,1,0,1,1,4.92,7.575,74,7.0015,0,36,36
2011010407,1,0,1,1,4.92,7.575,74,8.9981,2,92,94
2011010408,1,0,1,1,5.74,7.575,69,11.0014,2,177,179
2011010409,1,0,1,1,6.56,7.575,64,15.0013,2,98,100
2011010410,1,0,1,2,6.56,6.82,69,22.0028,5,37,42
2011010411,1,0,1,1,9.02,10.605,51,19.9995,7,50,57
2011010412,1,0,1,1,9.02,11.365,51,11.0014,12,66,78
2011010413,1,0,1,1,9.84,11.365,56,12.998,18,79,97
2011010414,1,0,1,1,10.66,12.88,52,15.0013,9,54,63
2011010415,1,0,1,1,11.48,13.635,52,16.9979,17,48,65
2011010416,1,0,1,1,12.3,14.395,49,16.9979,15,68,83
2011010417,1,0,1,1,11.48,13.635,48,15.0013,10,202,212
2011010418,1,0,1,1,10.66,12.88,48,12.998,3,179,182
2011010419,1,0,1,1,9.84,12.88,48,7.0015,2,110,112
2011010420,1,0,1,1,9.84,12.88,48,7.0015,1,53,54
2011010421,1,0,1,1,9.02,13.635,64,0,0,48,48
2011010422,1,0,1,1,9.02,12.88,64,6.0032,1,34,35
2011010423,1,0,1,1,8.2,11.365,69,6.0032,2,9,11
2011010500,1,0,1,1,8.2,12.88,64,0,0,6,6
2011010501,1,0,1,1,6.56,9.85,74,6.0032,0,6,6
2011010502,1,0,1,1,6.56,9.85,74,6.0032,0,2,2
2011010504,1,0,1,1,9.84,11.365,48,15.0013,0,2,2
2011010505,1,0,1,1,9.02,11.365,47,11.0014,0,3,3
2011010506,1,0,1,1,8.2,9.85,47,15.0013,0,33,33
2011010507,1,0,1,1,7.38,9.09,43,12.998,1,87,88
2011010508,1,0,1,1,8.2,9.09,40,19.9995,3,192,195
2011010509,1,0,1,1,9.02,9.85,37,22.0028,6,109,115
2011010510,1,0,1,1,9.02,9.85,37,22.0028,4,53,57
2011010511,1,0,1,1,10.66,11.365,33,22.0028,12,34,46
2011010512,1,0,1,1,10.66,11.365,33,22.0028,5,74,79
2011010513,1,0,1,1,11.48,12.88,30,19.9995,6,65,71
2011010514,1,0,1,1,12.3,14.395,28,12.998,10,52,62
2011010515,1,0,1,1,12.3,14.395,28,12.998,7,55,62
2011010516,1,0,1,1,12.3,15.91,28,6.0032,4,85,89
2011010517,1,0,1,1,9.84,11.365,38,12.998,4,186,190
2011010518,1,0,1,1,9.84,12.12,38,8.9981,3,166,169
2011010519,1,0,1,1,9.84,12.88,38,7.0015,5,127,132
2011010520,1,0,1,1,9.02,11.365,47,11.0014,7,82,89
2011010521,1,0,1,1,8.2,9.85,51,12.998,3,40,43
2011010522,1,0,1,1,7.38,9.85,55,8.9981,1,41,42
2011010523,1,0,1,1,8.2,12.88,47,0,1,18,19
2011010600,1,0,1,1,7.38,12.12,55,0,0,11,11
2011010601,1,0,1,1,6.56,11.365,64,0,0,4,4
2011010602,1,0,1,1,6.56,11.365,64,0,0,2,2
2011010604,1,0,1,2,6.56,9.85,64,6.0032,0,1,1
2011010605,1,0,1,2,5.74,9.09,69,6.0032,0,4,4
2011010606,1,0,1,2,5.74,8.335,63,7.0015,0,36,36
2011010607,1,0,1,2,6.56,11.365,59,0,0,95,95
2011010608,1,0,1,1,6.56,11.365,59,0,3,216,219
2011010609,1,0,1,2,7.38,12.12,51,0,6,116,122
2011010610,1,0,1,1,8.2,12.88,47,0,3,42,45
2011010611,1,0,1,1,9.02,12.88,44,6.0032,2,57,59
2011010612,1,0,1,1,10.66,14.395,35,0,6,78,84
2011010613,1,0,1,1,10.66,13.635,35,7.0015,12,55,67
2011010614,1,0,1,1,11.48,13.635,36,11.0014,11,59,70
2011010615,1,0,1,1,11.48,13.635,36,0,8,54,62
2011010616,1,0,1,1,10.66,12.88,38,11.0014,12,74,86
2011010617,1,0,1,1,9.02,11.365,51,11.0014,9,163,172
2011010618,1,0,1,1,9.02,11.365,51,8.9981,5,158,163
2011010619,1,0,1,1,9.02,12.88,55,6.0032,3,109,112
2011010620,1,0,1,1,8.2,10.605,51,11.0014,3,66,69
2011010621,1,0,1,2,9.02,10.605,55,15.0013,0,48,48
2011010622,1,0,1,2,9.02,10.605,51,19.0012,1,51,52
2011010623,1,0,1,2,8.2,9.85,59,12.998,4,19,23
2011010700,1,0,1,2,8.2,9.85,64,12.998,4,13,17
2011010701,1,0,1,2,8.2,9.85,69,15.0013,2,5,7
2011010702,1,0,1,2,8.2,9.85,69,15.0013,0,1,1
2011010704,1,0,1,2,8.2,10.605,69,8.9981,0,1,1
2011010705,1,0,1,3,9.02,13.635,55,0,0,5,5
2011010706,1,0,1,2,8.2,12.88,69,0,8,26,34
2011010707,1,0,1,1,8.2,10.605,69,8.9981,8,76,84
2011010708,1,0,1,1,8.2,9.85,51,16.9979,20,190,210
2011010709,1,0,1,1,8.2,9.09,47,19.9995,9,125,134
2011010710,1,0,1,1,9.02,9.85,37,22.0028,16,47,63
2011010711,1,0,1,2,8.2,9.85,40,15.0013,19,48,67
2011010712,1,0,1,2,8.2,9.85,37,16.9979,9,50,59
2011010713,1,0,1,2,8.2,9.09,37,19.0012,9,64,73
2011010714,1,0,1,2,8.2,9.85,40,16.9979,7,43,50
2011010715,1,0,1,2,8.2,10.605,37,11.0014,9,63,72
2011010716,1,0,1,2,8.2,10.605,37,11.0014,5,82,87
2011010717,1,0,1,2,8.2,12.88,37,0,9,178,187
2011010718,1,0,1,1,8.2,11.365,40,6.0032,7,116,123
2011010719,1,0,1,1,6.56,9.85,55,6.0032,3,92,95
2011010720,1,0,1,1,7.38,10.605,47,7.0015,1,50,51
2011010721,1,0,1,1,7.38,9.85,47,8.9981,0,39,39
2011010722,1,0,1,2,7.38,9.85,43,11.0014,2,34,36
2011010723,1,0,1,2,7.38,9.85,51,11.0014,1,14,15
2011010800,1,0,0,2,7.38,9.85,51,11.0014,1,24,25
2011010801,1,0,0,2,7.38,10.605,55,6.0032,1,15,16
2011010802,1,0,0,2,7.38,12.12,55,0,3,13,16
2011010803,1,0,0,3,7.38,9.85,55,11.0014,0,7,7
2011010804,1,0,0,3,7.38,9.85,55,11.0014,0,1,1
2011010805,1,0,0,2,6.56,8.335,74,11.0014,0,5,5
2011010806,1,0,0,2,6.56,8.335,74,11.0014,0,2,2
2011010807,1,0,0,2,6.56,9.09,74,7.0015,1,8,9
2011010808,1,0,0,3,6.56,9.09,93,7.0015,0,15,15
2011010809,1,0,0,3,6.56,9.09,93,7.0015,0,20,20
2011010810,1,0,0,2,7.38,9.85,80,11.0014,5,56,61
2011010811,1,0,0,2,8.2,9.09,69,26.0027,2,60,62
2011010812,1,0,0,2,8.2,9.09,59,23.9994,8,90,98
2011010813,1,0,0,1,8.2,9.09,44,22.0028,7,95,102
2011010814,1,0,0,1,8.2,8.335,32,32.9975,12,83,95
2011010815,1,0,0,1,8.2,8.335,32,30.0026,5,69,74
2011010816,1,0,0,1,7.38,6.82,29,30.0026,8,68,76
2011010817,1,0,0,1,6.56,6.06,37,36.9974,5,64,69
2011010818,1,0,0,1,5.74,6.06,39,19.9995,3,52,55
2011010819,1,0,0,1,5.74,6.06,36,16.9979,4,26,30
2011010820,1,0,0,1,4.92,6.06,36,16.9979,0,28,28
2011010821,1,0,0,1,4.92,5.305,39,23.9994,2,35,37
2011010822,1,0,0,1,4.92,5.305,36,26.0027,1,33,34
2011010823,1,0,0,1,4.1,3.03,39,30.0026,0,22,22
2011010900,1,0,0,1,4.1,3.79,42,26.0027,1,24,25
2011010901,1,0,0,1,4.1,3.03,42,31.0009,0,12,12
2011010902,1,0,0,1,4.1,3.03,46,31.0009,0,11,11
2011010903,1,0,0,1,4.1,3.79,46,27.9993,0,4,4
2011010904,1,0,0,1,3.28,4.545,53,12.998,0,1,1
2011010905,1,0,0,1,3.28,4.545,53,12.998,0,1,1
2011010906,1,0,0,1,4.1,4.545,49,19.0012,0,1,1
2011010907,1,0,0,1,3.28,4.545,53,12.998,1,5,6
2011010908,1,0,0,1,4.1,4.545,49,19.0012,0,10,10
2011010909,1,0,0,1,4.92,3.79,46,35.0008,0,19,19
2011010910,1,0,0,1,5.74,5.305,43,26.0027,0,49,49
2011010911,1,0,0,1,6.56,6.06,40,35.0008,2,47,49
2011010912,1,0,0,1,7.38,6.82,37,30.0026,4,79,83
2011010913,1,0,0,1,8.2,8.335,34,30.0026,6,69,75
2011010914,1,0,0,1,9.02,9.09,32,31.0009,8,64,72
2011010915,1,0,0,1,9.02,9.85,35,23.9994,5,77,82
2011010916,1,0,0,1,8.2,8.335,34,30.0026,13,79,92
2011010917,1,0,0,1,7.38,7.575,37,26.0027,3,59,62
2011010918,1,0,0,1,6.56,6.82,40,22.0028,4,44,48
2011010919,1,0,0,1,6.56,6.82,43,22.0028,1,40,41
2011010920,1,0,0,1,5.74,6.06,46,16.9979,0,38,38
2011010921,1,0,0,1,5.74,5.305,46,27.9993,1,19,20
2011010922,1,0,0,1,5.74,6.06,46,19.9995,5,10,15
2011010923,1,0,0,1,4.92,6.82,50,12.998,0,6,6
2011011000,1,0,1,1,4.92,6.06,50,19.0012,2,3,5
2011011001,1,0,1,1,4.92,6.06,50,19.0012,1,0,1
2011011002,1,0,1,1,4.92,6.06,50,15.0013,0,3,3
2011011003,1,0,1,1,4.92,6.06,50,15.0013,0,1,1
2011011004,1,0,1,1,4.1,6.06,54,8.9981,1,2,3
2011011005,1,0,1,1,4.1,5.305,54,16.9979,0,3,3
2011011006,1,0,1,1,4.92,6.06,50,19.0012,0,31,31
2011011007,1,0,1,1,4.92,6.06,50,15.0013,2,75,77
2011011008,1,0,1,2,4.92,6.06,50,19.0012,4,184,188
2011011009,1,0,1,2,5.74,6.06,50,16.9979,2,92,94
2011011010,1,0,1,2,5.74,6.06,50,19.9995,0,31,31
2011011011,1,0,1,2,6.56,6.82,47,19.0012,2,28,30
2011011012,1,0,1,2,8.2,9.09,40,19.0012,5,47,52
2011011013,1,0,1,2,8.2,9.09,40,19.0012,4,50,54
2011011014,1,0,1,2,8.2,9.85,40,15.0013,0,47,47
2011011015,1,0,1,2,8.2,9.85,40,15.0013,2,43,45
2011011016,1,0,1,1,8.2,10.605,40,8.9981,4,70,74
2011011017,1,0,1,1,8.2,11.365,40,7.0015,4,174,178
2011011018,1,0,1,1,8.2,9.85,40,15.0013,1,154,155
2011011019,1,0,1,1,6.56,8.335,47,11.0014,3,92,95
2011011020,1,0,1,1,6.56,8.335,50,11.0014,1,73,74
2011011021,1,0,1,1,5.74,6.82,59,12.998,1,37,38
2011011022,1,0,1,1,5.74,7.575,59,11.0014,2,22,24
2011011023,1,0,1,1,5.74,7.575,59,11.0014,0,18,18
2011011100,1,0,1,1,5.74,8.335,59,7.0015,2,10,12
2011011101,1,0,1,1,5.74,7.575,59,11.0014,0,3,3
2011011102,1,0,1,2,6.56,7.575,55,12.998,0,3,3
2011011105,1,0,1,2,6.56,9.09,55,8.9981,0,6,6
2011011106,1,0,1,2,6.56,9.09,55,8.9981,0,27,27
2011011107,1,0,1,2,6.56,11.365,55,0,2,97,99
2011011108,1,0,1,2,7.38,10.605,51,6.0032,3,214,217
2011011109,1,0,1,2,7.38,9.85,51,11.0014,3,127,130
2011011110,1,0,1,2,8.2,10.605,51,11.0014,3,51,54
2011011111,1,0,1,2,8.2,10.605,47,8.9981,4,31,35
2011011112,1,0,1,2,8.2,11.365,51,7.0015,2,55,57
2011011113,1,0,1,2,8.2,11.365,59,6.0032,6,46,52
2011011114,1,0,1,2,8.2,11.365,59,6.0032,3,60,63
2011011115,1,0,1,2,6.56,9.85,80,6.0032,2,45,47
2011011116,1,0,1,2,6.56,7.575,86,15.0013,4,72,76
2011011117,1,0,1,2,6.56,7.575,86,15.0013,6,130,136
2011011118,1,0,1,3,6.56,9.09,93,7.0015,1,94,95
2011011119,1,0,1,3,6.56,11.365,93,0,0,51,51
2011011120,1,0,1,3,6.56,7.575,93,12.998,0,32,32
2011011121,1,0,1,3,6.56,9.85,86,6.0032,0,20,20
2011011122,1,0,1,3,6.56,9.09,93,7.0015,1,28,29
2011011123,1,0,1,3,6.56,9.85,93,6.0032,1,18,19
2011011200,1,0,1,2,6.56,9.85,86,6.0032,0,7,7
2011011201,1,0,1,2,6.56,9.09,86,7.0015,0,6,6
2011011202,1,0,1,1,5.74,7.575,86,8.9981,0,1,1
2011011205,1,0,1,1,5.74,7.575,86,11.0014,0,5,5
2011011206,1,0,1,1,4.92,7.575,93,8.9981,0,16,16
2011011207,1,0,1,1,5.74,7.575,69,8.9981,0,54,54
2011011208,1,0,1,1,6.56,8.335,59,11.0014,3,125,128
2011011209,1,0,1,1,6.56,6.82,59,22.0028,3,78,81
2011011210,1,0,1,1,7.38,9.09,55,15.0013,0,39,39
2011011211,1,0,1,1,8.2,9.09,51,26.0027,3,32,35
2011011212,1,0,1,1,8.2,7.575,47,39.0007,3,52,55
2011011213,1,0,1,1,9.02,9.85,44,23.9994,0,49,49
2011011214,1,0,1,1,8.2,9.09,47,22.0028,0,44,44
2011011215,1,0,1,1,8.2,8.335,47,27.9993,1,48,49
2011011216,1,0,1,1,9.02,9.85,44,22.0028,5,63,68
2011011217,1,0,1,1,8.2,9.09,47,23.9994,0,139,139
2011011218,1,0,1,1,8.2,7.575,47,35.0008,2,135,137
2011011219,1,0,1,1,7.38,7.575,47,27.9993,1,82,83
2011011220,1,0,1,1,6.56,6.82,50,22.0028,2,54,56
2011011221,1,0,1,1,6.56,6.82,55,22.0028,0,57,57
2011011222,1,0,1,1,6.56,6.06,55,30.0026,1,32,33
2011011223,1,0,1,1,5.74,5.305,59,27.9993,1,19,20
2011011300,1,0,1,1,5.74,6.06,59,19.0012,1,6,7
2011011301,1,0,1,1,5.74,6.06,50,19.0012,0,2,2
2011011302,1,0,1,1,5.74,6.06,50,23.9994,0,2,2
2011011303,1,0,1,1,5.74,6.06,50,22.0028,0,3,3
2011011304,1,0,1,1,5.74,6.06,50,16.9979,0,4,4
2011011305,1,0,1,1,5.74,6.06,50,19.9995,0,3,3
2011011306,1,0,1,1,4.92,7.575,54,8.9981,0,28,28
2011011307,1,0,1,1,4.92,7.575,54,8.9981,0,72,72
2011011308,1,0,1,1,5.74,6.82,50,12.998,5,197,202
2011011309,1,0,1,1,5.74,6.06,50,22.0028,2,137,139
2011011310,1,0,1,2,6.56,6.82,50,23.9994,2,36,38
2011011311,1,0,1,2,8.2,8.335,44,30.0026,4,33,37
2011011312,1,0,1,1,8.2,8.335,44,27.9993,3,49,52
2011011313,1,0,1,1,9.02,9.85,41,30.0026,2,81,83
2011011314,1,0,1,1,9.02,9.85,41,26.0027,3,39,42
2011011315,1,0,1,1,9.84,10.605,38,19.9995,5,55,60
2011011316,1,0,1,1,9.84,10.605,38,23.9994,2,76,78
2011011317,1,0,1,1,8.2,9.09,40,19.0012,4,158,162
2011011318,1,0,1,1,8.2,9.09,40,22.0028,3,141,144
2011011319,1,0,1,1,6.56,7.575,47,16.9979,1,98,99
2011011320,1,0,1,1,6.56,7.575,47,15.0013,0,64,64
2011011321,1,0,1,1,5.74,6.06,46,19.9995,0,40,40
2011011322,1,0,1,1,5.74,6.06,46,22.0028,0,30,30
2011011323,1,0,1,1,4.92,6.82,50,12.998,1,14,15
2011011400,1,0,1,1,4.92,6.82,50,12.998,0,14,14
2011011401,1,0,1,1,4.1,6.06,54,11.0014,0,5,5
2011011402,1,0,1,1,4.1,6.06,54,8.9981,0,1,1
2011011403,1,0,1,1,4.1,6.82,54,7.0015,0,1,1
2011011405,1,0,1,1,4.1,6.82,54,6.0032,0,8,8
2011011406,1,0,1,1,4.1,9.09,54,0,0,17,17
2011011407,1,0,1,1,4.1,6.06,74,11.0014,0,70,70
2011011408,1,0,1,1,4.92,8.335,68,0,2,156,158
2011011409,1,0,1,1,5.74,7.575,69,8.9981,0,117,117
2011011410,1,0,1,1,7.38,9.09,55,12.998,4,40,44
2011011411,1,0,1,1,7.38,8.335,51,19.0012,6,47,53
2011011412,1,0,1,1,8.2,9.85,44,16.9979,2,59,61
2011011413,1,0,1,1,9.02,9.85,37,26.0027,4,73,77
2011011414,1,0,1,1,9.02,10.605,41,19.0012,5,59,64
2011011415,1,0,1,1,9.84,12.12,38,11.0014,9,59,68
2011011416,1,0,1,1,9.02,12.12,41,7.0015,3,87,90
2011011417,1,0,1,1,9.02,11.365,41,11.0014,4,155,159
2011011418,1,0,1,1,8.2,12.88,47,0,5,134,139
2011011419,1,0,1,1,6.56,9.85,59,6.0032,3,89,92
2011011420,1,0,1,1,7.38,12.12,59,0,0,68,68
2011011421,1,0,1,1,6.56,11.365,69,0,4,48,52
2011011422,1,0,1,2,6.56,11.365,69,0,2,34,36
2011011423,1,0,1,2,7.38,12.12,55,0,1,26,27
2011011500,1,0,0,1,7.38,12.12,55,0,3,25,28
2011011501,1,0,0,2,6.56,9.85,59,6.0032,2,18,20
2011011502,1,0,0,2,6.56,9.85,59,6.0032,0,12,12
2011011503,1,0,0,2,6.56,11.365,59,0,1,7,8
2011011504,1,0,0,2,6.56,11.365,59,0,0,5,5
2011011505,1,0,0,1,6.56,11.365,59,0,0,1,1
2011011506,1,0,0,1,5.74,8.335,63,7.0015,1,2,3
2011011507,1,0,0,1,5.74,10.605,63,0,1,9,10
2011011508,1,0,0,1,5.74,7.575,63,8.9981,1,22,23
2011011509,1,0,0,1,6.56,9.09,64,8.9981,2,31,33
2011011510,1,0,0,1,7.38,9.85,59,11.0014,2,57,59
2011011511,1,0,0,1,8.2,9.85,55,15.0013,18,54,72
2011011512,1,0,0,1,9.84,11.365,48,15.0013,15,74,89
2011011513,1,0,0,1,11.48,12.88,38,19.9995,21,80,101
2011011514,1,0,0,1,12.3,14.395,39,19.0012,26,92,118
2011011515,1,0,0,2,13.12,15.91,36,12.998,21,108,129
2011011516,1,0,0,2,13.94,16.665,34,12.998,33,95,128
2011011517,1,0,0,2,13.12,15.15,36,19.0012,29,54,83
2011011518,1,0,0,2,12.3,14.395,45,16.9979,15,69,84
2011011519,1,0,0,2,13.12,15.15,39,16.9979,14,60,74
2011011520,1,0,0,2,13.12,15.15,39,16.9979,6,35,41
2011011521,1,0,0,2,13.12,15.15,39,15.0013,6,51,57
2011011522,1,0,0,2,12.3,15.91,42,7.0015,0,26,26
2011011523,1,0,0,1,12.3,14.395,45,19.0012,5,39,44
2011011600,1,0,0,1,10.66,15.15,56,0,6,33,39
2011011601,1,0,0,1,10.66,13.635,56,8.9981,4,19,23
2011011602,1,0,0,1,10.66,14.395,56,6.0032,3,13,16
2011011603,1,0,0,1,9.02,13.635,69,0,9,6,15
2011011604,1,0,0,1,10.66,12.88,56,11.0014,0,1,1
2011011605,1,0,0,2,10.66,12.88,56,11.0014,1,1,2
2011011606,1,0,0,2,10.66,12.88,56,11.0014,0,1,1
2011011607,1,0,0,2,9.84,10.605,56,19.9995,0,3,3
2011011608,1,0,0,1,9.02,10.605,55,19.0012,0,18,18
2011011609,1,0,0,1,9.02,10.605,51,16.9979,3,29,32
2011011610,1,0,0,1,9.02,10.605,51,19.0012,8,71,79
2011011611,1,0,0,1,9.84,11.365,44,16.9979,23,70,93
2011011612,1,0,0,1,9.84,10.605,41,19.0012,29,75,104
2011011613,1,0,0,1,10.66,11.365,35,19.9995,23,95,118
2011011614,1,0,0,1,11.48,13.635,36,16.9979,22,69,91
2011011615,1,0,0,1,10.66,12.12,38,16.9979,35,78,113
2011011616,1,0,0,1,9.84,11.365,38,15.0013,22,77,99
2011011617,1,0,0,1,9.02,10.605,37,16.9979,23,82,105
2011011618,1,0,0,1,8.2,10.605,40,11.0014,11,56,67
2011011619,1,0,0,1,7.38,9.85,47,8.9981,14,47,61
2011011620,1,0,0,1,7.38,9.85,47,11.0014,7,50,57
2011011621,1,0,0,1,7.38,9.85,51,11.0014,6,22,28
2011011622,1,0,0,2,8.2,10.605,49,8.9981,2,19,21
2011011623,1,0,0,2,8.2,11.365,40,7.0015,0,18,18
2011011700,1,1,0,2,8.2,9.85,47,15.0013,1,16,17
2011011701,1,1,0,2,8.2,9.85,44,12.998,1,15,16
2011011702,1,1,0,2,7.38,8.335,43,16.9979,0,8,8
2011011703,1,1,0,2,7.38,9.09,43,12.998,0,2,2
2011011704,1,1,0,2,7.38,9.85,43,8.9981,1,2,3
2011011705,1,1,0,2,7.38,9.85,43,11.0014,0,1,1
2011011706,1,1,0,2,7.38,9.09,43,12.998,0,5,5
2011011707,1,1,0,2,6.56,9.09,50,8.9981,4,9,13
2011011708,1,1,0,2,6.56,7.575,47,15.0013,3,30,33
2011011709,1,1,0,2,6.56,7.575,47,15.0013,8,39,47
2011011710,1,1,0,2,6.56,7.575,50,16.9979,7,50,57
2011011711,1,1,0,2,6.56,7.575,55,12.998,9,55,64
2011011712,1,1,0,2,7.38,9.85,47,8.9981,10,70,80
2011011713,1,1,0,2,7.38,9.85,47,8.9981,13,80,93
2011011714,1,1,0,2,7.38,10.605,43,7.0015,12,74,86
2011011715,1,1,0,2,8.2,10.605,47,11.0014,21,72,93
2011011716,1,1,0,2,8.2,10.605,47,11.0014,6,76,82
2011011717,1,1,0,1,8.2,9.85,51,12.998,4,67,71
2011011718,1,1,0,2,7.38,8.335,55,16.9979,7,85,92
2011011719,1,1,0,3,7.38,9.09,59,12.998,2,58,60
2011011720,1,1,0,3,6.56,7.575,80,12.998,4,29,33
2011011721,1,1,0,3,6.56,7.575,80,12.998,3,24,27
2011011722,1,1,0,3,5.74,6.06,93,16.9979,0,13,13
2011011723,1,1,0,3,6.56,6.82,86,19.0012,1,3,4
2011011812,1,0,1,2,8.2,9.09,86,22.0028,0,3,3
2011011813,1,0,1,2,8.2,9.85,86,15.0013,0,22,22
2011011814,1,0,1,2,9.02,11.365,80,11.0014,2,26,28
2011011815,1,0,1,2,9.02,11.365,87,11.0014,3,32,35
2011011816,1,0,1,2,9.02,11.365,87,12.998,0,61,61
2011011817,1,0,1,2,9.02,11.365,82,12.998,1,124,125
2011011818,1,0,1,2,9.02,11.365,80,11.0014,1,132,133
2011011819,1,0,1,2,9.02,11.365,80,8.9981,1,98,99
2011011820,1,0,1,2,9.02,13.635,87,0,0,83,83
2011011821,1,0,1,2,9.02,12.12,93,7.0015,0,41,41
2011011822,1,0,1,2,9.02,12.88,93,6.0032,0,33,33
2011011823,1,0,1,2,9.02,13.635,93,0,1,19,20
2011011900,1,0,1,2,9.02,13.635,93,0,0,3,3
2011011901,1,0,1,3,9.02,11.365,93,8.9981,1,6,7
2011011902,1,0,1,3,9.02,11.365,93,8.9981,0,3,3
2011011904,1,0,1,3,9.02,11.365,93,8.9981,1,1,2
2011011905,1,0,1,2,9.02,12.88,93,6.0032,0,7,7
2011011906,1,0,1,2,9.02,12.88,93,6.0032,0,32,32
